Display name,Description,Data type,Format,Behavior,Required,Searchable,Allow form fill assistance,Choices,Related table,Selecting multiple choices is allowed,Sync with global choice?,Sync this choice with,Compare with,Enum,Default choice,Autonumber type,Prefix,Minimum number of digits,Seed value,Preview,Schema name,Logical name,Relationship name,Minimum value,Maximum value,Decimal Places,Precision source,Time zone adjustment,Maximum character count,IME mode,Enabel auditing,Sortable
Practice_Promotion,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Practice_Promotion,Table_Membership_Preference,practice-promotion.enum.ts,,,,,,,osot_Practice_Promotion,osot_practice_promotion,,,,,,,,,TRUE,FALSE
Psychotherapy_Supervision,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Psychotherapy,Table_Membership_Preference,psychotherapy-supervision.enum.ts,,,,,,,osot_Psychotherapy_Supervision,osot_psychotherapy_supervision,,,,,,,,,TRUE,FALSE
Third_Parties,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Third_Parties,Table_Membership_Preference,third-parties.enum.ts,,,,,,,osot_Third_Parties,osot_third_parties,,,,,,,,,TRUE,FALSE
COTO_Status,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_COTO_Status,Table_OT_Education,coto-status.enum.ts,,,,,,,osot_COTO_Status,osot_coto_status,,,,,,,,,TRUE,FALSE
OT_Grad_Year,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Years,Table_OT_Education,graduation-year.enum.ts,,,,,,,osot_OT_Grad_Year,osot_ot_grad_year,,,,,,,,,TRUE,FALSE
OT_University,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_OT_Universities,Table_OT_Education,ot-university.enum.ts,,,,,,,osot_OT_University,osot_ot_university,,,,,,,,,TRUE,FALSE
OTA_Grad_Year,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_Years,Table_OTA_Education,graduation-year.enum.ts,,,,,,,osot_OTA_Grad_Year,osot_ota_grad_year,,,,,,,,,TRUE,FALSE
OTA_College,,Choice,,Simple,Optional,TRUE,TRUE,TRUE,,TRUE,TRUE,Choices_OTA_Colleges,Table_OTA_Education,ota-college.enum.ts,,,,,,,osot_OTA_College,osot_ota_college,,,,,,,,,TRUE,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table Information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Display Name,Table_Audience_Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plural Name,Table_Audience_Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema Name,osot_Table_Audience_Target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Logical Name,osot_table_audience_target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
